sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
41,800014,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,37.2,744,0.7016,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
42,800015,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,37.65,753,0.4165,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
43,254,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,38.5,770,0.8906,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
44,243,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,39.0,780,0.9372,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
45,273,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,40.5,810,0.8954,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
46,289,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,42.8,856,0.8345,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
47,300,bus,kelas 5 bus,large_bus,large bus,5b,Large bus,Kelas 5 Bus,1,Default Line,opposite,44.45,889,0.8169,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
48,304,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,44.55,891,0.6834,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
49,310,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,45.9,918,0.9276,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
50,323,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,47.3,946,0.9027,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
51,329,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,48.75,975,0.8919,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
52,800018,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,48.9,978,0.1865,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
53,800017,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,49.35,987,0.4611,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
54,338,car,kelas 3 angkot,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 3 Angkot,1,Default Line,opposite,49.85,997,0.9046,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
55,354,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,50.55,1011,0.881,213fde23-3225-4fb2-ae05-9484de255623,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,1a10599c-8d2b-4752-8014-5626b3232047,bandung7.mp4,2026-06-09T18:30:00+07:00
